#Age   [M/H] slope  CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD    TiO1   TiO2    HdA    HgA   HdF    HgF   D4000   CaT*   PaT    CaT    sTiO   MgI   D_CO
#===========================================================================================================================================================================================================================---------------------
 1.78 -1.31  0.30 -0.062 -0.025  0.262  0.636  0.176  0.359  1.322 -0.008  4.067  2.228  0.015  0.066  1.077  0.957  0.831  0.494  0.378  0.240  1.332  0.028  0.034  5.839  3.939  4.333  3.958  1.637  5.691  1.577  7.157  0.971  0.419  1.137
 2.00 -1.31  0.30 -0.059 -0.024  0.297  0.962  0.360  0.399  1.409  0.027  3.838  2.319  0.014  0.067  1.109  1.020  0.867  0.515  0.392  0.250  1.312  0.028  0.033  5.454  3.367  4.062  3.625  1.659  5.707  1.473  7.077  0.969  0.419  1.135
 2.24 -1.31  0.30 -0.058 -0.023  0.315  1.177  0.475  0.418  1.450  0.023  3.692  2.343  0.014  0.067  1.125  1.043  0.875  0.514  0.395  0.250  1.278  0.027  0.031  5.173  2.990  3.862  3.394  1.670  5.638  1.423  6.962  0.967  0.411  1.132
 2.51 -1.31  0.30 -0.057 -0.022  0.326  1.278  0.533  0.424  1.460  0.012  3.622  2.331  0.013  0.066  1.141  1.044  0.873  0.507  0.391  0.246  1.255  0.026  0.030  5.009  2.784  3.759  3.274  1.672  5.552  1.405  6.859  0.965  0.402  1.130
 2.82 -1.31  0.30 -0.058 -0.024  0.329  1.210  0.495  0.415  1.444 -0.008  3.662  2.306  0.013  0.067  1.151  1.027  0.864  0.500  0.387  0.243  1.247  0.026  0.029  5.090  2.894  3.819  3.337  1.668  5.521  1.426  6.848  0.965  0.399  1.130
 3.16 -1.31  0.30 -0.057 -0.023  0.344  1.362  0.573  0.428  1.472 -0.017  3.549  2.320  0.012  0.066  1.161  1.042  0.865  0.496  0.390  0.243  1.217  0.025  0.027  4.874  2.604  3.676  3.164  1.674  5.457  1.386  6.746  0.963  0.391  1.128
 3.55 -1.31  0.30 -0.056 -0.023  0.361  1.560  0.676  0.445  1.508 -0.013  3.405  2.348  0.012  0.067  1.194  1.066  0.875  0.497  0.393  0.244  1.212  0.025  0.027  4.573  2.193  3.481  2.934  1.678  5.434  1.320  6.661  0.961  0.389  1.126
 3.98 -1.31  0.30 -0.054 -0.022  0.382  1.769  0.800  0.466  1.550 -0.001  3.245  2.383  0.012  0.068  1.216  1.098  0.892  0.505  0.400  0.247  1.201  0.024  0.025  4.256  1.789  3.270  2.688  1.679  5.419  1.242  6.574  0.960  0.387  1.124
 4.47 -1.31  0.30 -0.052 -0.021  0.401  1.962  0.917  0.485  1.589  0.011  3.099  2.415  0.012  0.069  1.236  1.127  0.907  0.512  0.406  0.251  1.196  0.024  0.024  3.939  1.369  3.074  2.448  1.681  5.416  1.170  6.504  0.959  0.387  1.123
 5.01 -1.31  0.30 -0.052 -0.021  0.416  2.113  1.012  0.498  1.614  0.011  2.977  2.429  0.012  0.069  1.261  1.144  0.913  0.512  0.409  0.252  1.185  0.023  0.023  3.684  1.038  2.909  2.246  1.674  5.390  1.106  6.419  0.958  0.384  1.121
 5.62 -1.31  0.30 -0.050 -0.020  0.435  2.307  1.136  0.518  1.653  0.026  2.832  2.461  0.013  0.070  1.274  1.176  0.930  0.521  0.417  0.256  1.179  0.022  0.022  3.349  0.654  2.687  2.003  1.676  5.392  1.028  6.348  0.957  0.384  1.119
 6.31 -1.31  0.30 -0.049 -0.019  0.452  2.478  1.243  0.534  1.684  0.031  2.706  2.482  0.013  0.070  1.282  1.202  0.939  0.522  0.424  0.259  1.174  0.022  0.020  3.050  0.333  2.487  1.787  1.679  5.385  0.960  6.277  0.956  0.383  1.116
 7.08 -1.31  0.30 -0.048 -0.019  0.468  2.605  1.324  0.548  1.710  0.031  2.609  2.501  0.014  0.072  1.314  1.223  0.943  0.523  0.433  0.263  1.160  0.020  0.018  2.818  0.037  2.344  1.610  1.681  5.373  0.902  6.212  0.955  0.382  1.113
 7.94 -1.31  0.30 -0.047 -0.019  0.484  2.757  1.422  0.564  1.739  0.040  2.497  2.523  0.014  0.071  1.306  1.249  0.953  0.527  0.440  0.267  1.155  0.020  0.017  2.578 -0.191  2.159  1.425  1.682  5.372  0.844  6.156  0.954  0.383  1.111
 8.91 -1.31  0.30 -0.046 -0.018  0.502  2.896  1.518  0.577  1.765  0.042  2.398  2.539  0.015  0.072  1.322  1.272  0.962  0.529  0.447  0.269  1.153  0.019  0.015  2.397 -0.365  2.001  1.264  1.691  5.368  0.793  6.106  0.954  0.383  1.108
10.00 -1.31  0.30 -0.046 -0.018  0.515  3.001  1.587  0.586  1.781  0.034  2.316  2.543  0.015  0.071  1.289  1.287  0.964  0.526  0.452  0.270  1.150  0.018  0.014  2.248 -0.607  1.901  1.125  1.692  5.351  0.752  6.051  0.953  0.382  1.106
11.22 -1.31  0.30 -0.045 -0.018  0.531  3.124  1.663  0.598  1.803  0.031  2.228  2.556  0.016  0.069  1.227  1.308  0.970  0.526  0.458  0.272  1.153  0.017  0.012  2.082 -0.877  1.795  0.974  1.703  5.355  0.714  6.019  0.952  0.383  1.103
